,Episode Name,Japanese Airdate,English Airdate,Char List,Opening,Ending,Arc,Rating
0,"""Enter: Naruto Uzumaki!""",3 October 2002,10 September 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Third Hokage: Sarutobi', 'Iruka', 'Shikamaru Nara', 'Ino Yamanaka', 'Hinata Hyūga', 'Mizuki', 'Bekkō', 'Iwana', 'Yajirobee', 'Ibara', 'Tsubaki', ""Tobio's father"", ""Tobio's mother"", 'Iruka (boyhood)']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.3
1,"""My Name is Konohamaru!""",10 October 2002,10 September 2005,"['Naruto Uzumaki', 'Konohamaru', 'Third Hokage: Sarutobi', 'Iruka', 'Ebisu', 'Genzō', 'Woman', 'Gal Naruto']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.0
2,"""Sasuke and Sakura: Friends or Foes?""",17 October 2002,17 September 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Shikamaru Nara', 'Ino Yamanaka', 'Hinata Hyūga', 'Chōji Akimichi', 'Kiba Inuzuka', 'Third Hokage: Sarutobi', 'Konohamaru', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Tobio', ""Sakura's mother"", 'Girl']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.1
3,"""Pass or Fail: Survival Test""",24 October 2002,24 September 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Third Hokage: Sarutobi']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.3
4,"""You Failed! Kakashi's Final Decision""",31 October 2002,1 October 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Third Hokage: Sarutobi']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.3
5,"""A Dangerous Mission! Journey to the Land of Waves!""",7 November 2002,8 October 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Third Hokage: Sarutobi', 'Tazuna', 'Zabuza Momochi', 'Gatō', 'Meizu', 'Shijimi']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.2
6,"""The Assassin of the Mist!""",14 November 2002,15 October 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Zabuza Momochi', 'Tazuna', 'Kaji']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.2
7,"""The Oath of Pain""",21 November 2002,22 October 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Zabuza Momochi', 'Tazuna']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.4
8,"""Kakashi: Sharingan Warrior!""",28 November 2002,29 October 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Zabuza Momochi', 'Haku']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.3
9,"""The Forest of Chakra""",5 December 2002,5 November 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Tsunami', 'Inari', 'Zabuza Momochi', 'Haku', 'Gatō', 'Waraji', 'Zōri']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.0
10,"""The Land Where a Hero Once Lived""",12 December 2002,12 November 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Tsunami', 'Inari', 'Kaiza', 'Giichi', 'Gatō', 'Akane', 'Ageha', 'Waves townspeople']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.0
11,"""Battle on the Bridge! Zabuza Returns!""",19 December 2002,19 November 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Tsunami', 'Inari', 'Zabuza Momochi', 'Haku', 'Gatō', 'Kaiza']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.2
12,"""Haku's Secret Jutsu: Demonic Mirroring Ice Crystals""",26 December 2002,26 November 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Tsunami', 'Inari', 'Zabuza Momochi', 'Haku', 'Waraji', 'Zōri']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.3
13,"""The Number One Hyperactive, Knucklehead Ninja Joins the Fight!""",9 January 2003,3 December 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Zabuza Momochi', 'Haku', 'Narration']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,3.8
14,"""Zero Visibility: The Sharingan Shatters""",16 January 2003,10 December 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Zabuza Momochi', 'Haku']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.0
15,"""The Broken Seal""",23 January 2003,17 December 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Zabuza Momochi', 'Haku']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.4
16,"""White Past: Hidden Ambition""",30 January 2003,31 December 2005,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Zabuza Momochi', 'Haku', ""Haku's mother""]","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.4
17,"""The Weapons Known as Shinobi""",6 February 2003,7 January 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Tsunami', 'Inari', 'Kaiza', 'Zabuza Momochi', 'Haku', 'Gatō', 'Giichi', 'Agari']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.3
18,"""The Demon in the Snow""",13 February 2003,14 January 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Tazuna', 'Tsunami', 'Inari', 'Giichi', 'Gatō', ""Gatō's subordinates"", 'Zabuza Momochi', 'Haku']","""R★O★C★K★S""","""Wind""",Prologue — Land of Waves,4.7
19,"""A New Chapter Begins: The Chūnin Exam!""",20 February 2003,21 January 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Third Hokage: Sarutobi', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Konohamaru', 'Moegi', 'Udon', 'Gaara', 'Temari', 'Kankurō', 'Ino Yamanaka', 'Shikamaru Nara', 'Chōji Akimichi', 'Hinata Hyūga', 'Kiba Inuzuka']","""R★O★C★K★S""","""Wind""",Chūnin Exams,4.0
20,"""Identify Yourself: Powerful New Rivals""",27 February 2003,28 January 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Third Hokage: Sarutobi', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Gaara', 'Temari', 'Kankurō', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Konohamaru', 'Moegi', 'Udon', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Zaku Abumi', 'Dosu Kinuta', 'Ame shinobi']","""R★O★C★K★S""","""Wind""",Chūnin Exams,4.1
21,"""Chūnin Challenge: Rock Lee vs. Sasuke!""",6 March 2003,4 February 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Might Guy', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Ningame']","""R★O★C★K★S""","""Wind""",Chūnin Exams,4.2
22,"""Genin Takedown! All Nine Rookies Face Off!""",13 March 2003,11 February 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Third Hokage: Sarutobi', 'Might Guy', 'Gaara', 'Temari', 'Kankurō', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Kabuto Yakushi', 'Ibiki Morino', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Hinata Hyūga', 'Shino Aburame', 'Kiba Inuzuka', 'Zaku Abumi', 'Dosu Kinuta', 'Kin']","""R★O★C★K★S""","""Wind""",Chūnin Exams,4.1
23,"""Start Your Engines: The Chūnin Exam Begins!""",20 March 2003,18 February 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Gaara', 'Kankurō', 'Kabuto Yakushi', 'Ibiki Morino', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Hinata Hyūga', 'Shino Aburame', 'Kiba Inuzuka', 'Neji Hyūga', 'Tenten', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Zaku Abumi', 'Dosu Kinuta', 'Tonbo Tobitake', 'Sukima', 'Nejiri', 'Komaza']","""R★O★C★K★S""","""Wind""",Chūnin Exams,4.4
24,"""The Tenth Question: All or Nothing!""",27 March 2003,25 February 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Temari', 'Kankurō', 'Hinata Hyūga', 'Kiba Inuzuka', 'Ibiki Morino', 'Anko Mitarashi', 'Izumo Kamizuki', 'Genin']","""R★O★C★K★S""","""Wind""",Chūnin Exams,4.4
25,"""Special Report: Live from the Forest of Death!""",2 April 2003,4 March 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Konohamaru', 'Anko Mitarashi', 'Moegi', 'Udon']","""Far Away""","""Harmonia""",Chūnin Exams,2.7
26,"""The Chūnin Exam Stage 2: The Forest of Death""",2 April 2003,15 April 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Anko Mitarashi', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Rock Lee', 'Neji Hyūga', 'Hinata Hyūga', 'Kiba Inuzuka', 'Kabuto Yakushi', 'Kankurō', 'Dosu Kinuta', 'Oboro', 'Kusa shinobi', 'Examiner']","""Far Away""","""Harmonia""",Chūnin Exams,4.2
27,"""Eat or be Eaten: Panic in the Forest""",9 April 2003,15 April 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kusa shinobi', 'Oboro']","""Far Away""","""Harmonia""",Chūnin Exams,4.5
28,"""Naruto's Counterattack: Never Give In!""",16 April 2003,15 April 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Anko Mitarashi', 'Itachi Uchiha', 'Kusa shinobi', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Mozuku']","""Far Away""","""Harmonia""",Chūnin Exams,4.4
29,"""The Sharingan Revived: Dragon-Flame Jutsu!""",23 April 2003,22 April 2006,"['Sasuke Uchiha', 'Sakura Haruno', 'Anko Mitarashi', 'Itachi Uchiha', 'Orochimaru', 'Kusa shinobi', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Zaku Abumi', 'Dosu Kinuta']","""Far Away""","""Harmonia""",Chūnin Exams,4.5
30,"""Bushy Brow's Pledge: Undying Love and Protection!""",30 April 2003,29 April 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Might Guy', 'Orochimaru', 'Zaku Abumi', 'Dosu Kinuta', 'Kin']","""Far Away""","""Harmonia""",Chūnin Exams,4.3
31,"""Sakura Blossoms!""",7 May 2003,6 May 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Rock Lee', 'Might Guy', 'Zaku Abumi', 'Dosu Kinuta', 'Kin Tsuchi', 'Girls']","""Far Away""","""Harmonia""",Chūnin Exams,4.3
32,"""Battle Formation: Ino–Shika–Chō!!""",14 May 2003,13 May 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Neji Hyūga', 'Tenten', 'Orochimaru', 'Zaku Abumi', 'Dosu Kinuta', 'Kin Tsuchi']","""Far Away""","""Harmonia""",Chūnin Exams,4.4
33,"""Akamaru Trembles: Gaara's Cruel Strength!""",21 May 2003,20 May 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Rock Lee', 'Gaara', 'Temari', 'Kankurō', 'Neji Hyūga', 'Tenten', 'Hinata Hyūga', 'Kiba Inuzuka', 'Shino Aburame', 'Anko Mitarashi', 'Iwashi Tatami', 'Shigure', 'Baiu', 'Midare', 'Konoha Anbu']","""Far Away""","""Harmonia""",Chūnin Exams,4.3
34,"""The Scroll's Secret: No Peeking Allowed""",28 May 2003,27 May 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kabuto Yakushi', 'Oboro', 'Minoji', 'Shibire', 'Tanzō']","""Far Away""","""Harmonia""",Chūnin Exams,4.1
35,"""Clone vs. Clone: Mine are Better Than Yours!""",4 June 2003,3 June 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kabuto Yakushi', 'Yoroi', 'Orochimaru', 'Oboro', 'Mubi', 'Kagari']","""Far Away""","""Harmonia""",Chūnin Exams,4.3
36,"""Surviving the Cut: The Rookie 9 Together Again!""",11 June 2003,10 June 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Third Hokage: Sarutobi', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Kurenai Yūhi', 'Hinata Hyūga', 'Kiba Inuzuka', 'Hayate Gekkō', 'Might Guy', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Baki', 'Gaara', 'Temari', 'Kabuto Yakushi', 'Zaku Abumi', 'Anko Mitarashi', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Iwashi Tatami', 'Orochimaru']","""Far Away""","""Harmonia""",Chūnin Exams,4.0
37,"""Narrowing the Field: Sudden Death Elimination!""",18 June 2003,17 June 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Third Hokage: Sarutobi', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Hinata Hyūga', 'Kiba Inuzuka', 'Hayate Gekkō', 'Kabuto Yakushi', 'Anko Mitarashi', 'Rock Lee', 'Neji Hyūga', 'Gaara', 'Ibiki Morino', 'Yoroi', 'Dosu Kinuta', 'Orochimaru']","""Far Away""","""Harmonia""",Chūnin Exams,4.3
38,"""Bushy Brow's Jealousy: Lions Barrage Unleashed!""",2 July 2003,24 June 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Shino Aburame', 'Zaku Abumi', 'Yoroi', 'Hinata Hyūga', 'Kiba Inuzuka', 'Gaara', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Rock Lee', 'Tenten', 'Kankurō', 'Hayate Gekkō', 'Might Guy', 'Anko Mitarashi', 'Dosu Kinuta', 'Orochimaru']","""Far Away""","""Harmonia""",Chūnin Exams,4.5
39,"""Kakashi and Orochimaru: Face-to-Face!""",9 July 2003,1 July 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Shino Aburame', 'Zaku Abumi', 'Hinata Hyūga', 'Kiba Inuzuka', 'Gaara', 'Kankurō', 'Misumi', 'Rock Lee', 'Neji Hyūga', 'Dosu Kinuta', 'Kin Tsuchi', 'Hayate Gekkō', 'Might Guy', 'Kurenai Yūhi', 'Baki', 'Zaku (boyhood)', 'Orochimaru']","""Far Away""","""Harmonia""",Chūnin Exams,4.3
40,"""Kunoichi Rumble: The Rivals Get Serious!""",16 July 2003,8 July 2006,"['Naruto Uzumaki', 'Sakura Haruno', 'Ino Yamanaka', 'Kakashi Hatake', 'Kankurō', 'Misumi', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Gaara', 'Shikamaru Nara', 'Chōji Akimichi', 'Hayate Gekkō', 'Might Guy', 'Asuma Sarutobi', 'Suzume', 'Ami']","""Far Away""","""Harmonia""",Chūnin Exams,3.7
41,"""The Ultimate Battle: Cha!""",23 July 2003,15 July 2006,"['Naruto Uzumaki', 'Sakura Haruno', 'Ino Yamanaka', 'Kakashi Hatake', 'Shikamaru Nara', 'Chōji Akimichi', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Hayate Gekkō', 'Might Guy', 'Asuma Sarutobi']","""Far Away""","""Harmonia""",Chūnin Exams,3.8
42,"""Killer Kunoichi and a Shaky Shikamaru""",30 July 2003,15 July 2006,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Tenten', 'Temari', 'Shikamaru Nara', 'Kin Tsuchi', 'Ino Yamanaka', 'Chōji Akimichi', 'Kiba Inuzuka', 'Hinata Hyūga', 'Rock Lee', 'Gaara', 'Kankurō', 'Neji Hyūga', 'Dosu Kinuta', 'Hayate Gekkō', 'Might Guy', 'Third Hokage: Sarutobi']","""Far Away""","""Harmonia""",Chūnin Exams,4.3
43,"""Akamaru Unleashed! Who's Top Dog Now?""",6 August 2003,22 July 2006,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Rock Lee', 'Neji Hyūga', 'Temari', 'Kankurō', 'Iruka', 'Hayate Gekkō', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Boys', 'Third Hokage: Sarutobi']","""Far Away""","""Harmonia""",Chūnin Exams,4.4
44,"""Surprise Attack! Naruto's Secret Weapon!""",13 August 2003,29 July 2006,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Rock Lee', 'Neji Hyūga', 'Kankurō', 'Shino Aburame', 'Hayate Gekkō', 'Kurenai Yūhi']","""Far Away""","""Harmonia""",Chūnin Exams,4.3
45,"""Byakugan Battle: Hinata Grows Bold!""",20 August 2003,5 August 2006,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Third Hokage: Sarutobi', 'Hinata Hyūga', 'Neji Hyūga', 'Rock Lee', 'Kiba Inuzuka', 'Shino Aburame', 'Hayate Gekkō', 'Might Guy', 'Kurenai Yūhi', 'Hiashi Hyūga', 'Hanabi Hyūga']","""Far Away""","""Harmonia""",Chūnin Exams,4.4
46,"""A Failure Stands Tall!""",27 August 2003,12 August 2006,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Hinata Hyūga', 'Neji Hyūga', 'Rock Lee', 'Kiba Inuzuka', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Hayate Gekkō', 'Might Guy', 'Kurenai Yūhi', 'Third Hokage: Sarutobi']","""Far Away""","""Harmonia""",Chūnin Exams,4.6
47,"""Gaara vs. Rock Lee: The Power of Youth Explodes!""",3 September 2003,19 August 2006,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Rock Lee', 'Gaara', 'Temari', 'Kankurō', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Shino Aburame', 'Hayate Gekkō', 'Might Guy', 'Asuma Sarutobi', 'Baki']","""Far Away""","""Harmonia""",Chūnin Exams,4.8
48,"""Lee's Hidden Strength: Forbidden Secret Jutsu!""",10 September 2003,26 August 2006,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Rock Lee', 'Gaara', 'Might Guy', 'Neji Hyūga', 'Tenten', 'Ino Yamanaka', 'Shikamaru Nara', 'Chōji Akimichi', 'Baki', 'Temari', 'Kankurō', 'Boys']","""Far Away""","""Harmonia""",Chūnin Exams,4.7
49,"""The Fifth Gate: A Splendid Ninja is Born""",17 September 2003,2 September 2006,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Rock Lee', 'Gaara', 'Might Guy', 'Neji Hyūga', 'Ino Yamanaka', 'Shikamaru Nara', 'Chōji Akimichi', 'Hayate Gekkō', 'Baki', 'Temari', 'Kankurō', 'Shino Aburame', 'Dosu Kinuta']","""Far Away""","""Harmonia""",Chūnin Exams,4.7
50,"""A Shadow in Darkness: Danger Approaches Sasuke""",24 September 2003,9 September 2006,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Chōji Akimichi', 'Dosu Kinuta', 'Gaara', 'Kankurō', 'Temari', 'Neji Hyūga', 'Ino Yamanaka', 'Shikamaru Nara', 'Shino Aburame', 'Hayate Gekkō', 'Asuma Sarutobi', 'Anko Mitarashi', 'Ibiki Morino', 'Ebisu', 'Iruka', 'Konohamaru', 'Kabuto Yakushi', 'Orochimaru', 'Third Hokage: Sarutobi']","""Far Away""","""Harmonia""",Chūnin Exams,4.2
51,"""Ebisu Returns: Naruto's Toughest Training Yet!""",1 October 2003,16 September 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Ebisu', 'Konohamaru', 'Jiraiya', 'Teuchi', 'Ayame']","""Far Away""","""Viva★Rock-Japanese Side""",Chūnin Exams,4.2
52,"""Long Time No See: Jiraiya Returns!""",8 October 2003,30 September 2006,"['Naruto Uzumaki', 'Kakashi Hatake', 'Jiraiya', 'Ebisu', 'Gal Naruto', 'Beautiful women']","""Far Away""","""Viva★Rock-Japanese Side""",Chūnin Exams,4.3
53,"""The Summoning Technique: Wisdom of the Toad Sage!""",15 October 2003,7 October 2006,"['Naruto Uzumaki', 'Jiraiya', 'Hayate Gekkō', 'Ebisu', 'Gaara', 'Dosu Kinuta', 'Baki', 'Kabuto Yakushi', 'Woman Anbu', 'Gal Naruto']","""Turning Sadness Into Kindness""","""Viva★Rock-Japanese Side""",Chūnin Exams,4.2
